Tip100	type	RE_SUM	any_tissuespecific_bound	co_binding_count
SVSP_Cat1-hAT-Tip100_62	nonCRE	5	0	0
SVSP_Cat1-hAT-Tip100_63	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_64	nonCRE	3	0	0
SVSP_Cat1-hAT-Tip100_65	nonCRE	4	0	0
SVSP_Cat1-hAT-Tip100_66	nonCRE	5	0	0
SVSP_Cat1-hAT-Tip100_67	nonCRE	4	0	0
SVSP_Cat1-hAT-Tip100_68	CRE	11	1	27
SVSP_Cat1-hAT-Tip100_69	CRE	5	0	0
SVSP_Cat1-hAT-Tip100_70	CRE	14	1	28
SVSP_Cat1-hAT-Tip100_71	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_72	CRE	14	1	12
SVSP_Cat1-hAT-Tip100_73	nonCRE	5	0	0
SVSP_Cat1-hAT-Tip100_74	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_75	CRE	7	0	4
SVSP_Cat1-hAT-Tip100_76	CRE	0	0	0
SVSP_Cat1-hAT-Tip100_77	nonCRE	3	0	0
SVSP_Cat1-hAT-Tip100_78	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_79	nonCRE	5	0	0
SVSP_Cat1-hAT-Tip100_80	nonCRE	14	0	6
SVSP_Cat1-hAT-Tip100_81	nonCRE	0	0	0
SVSP_Cat1-hAT-Tip100_82	nonCRE	3	0	0
SVSP_Cat1-hAT-Tip100_83	CRE	14	1	40
SVSP_Cat1-hAT-Tip100_84	nonCRE	5	0	0
