TFBS_homology_group	Transcription.Factor.Name
L323	Arid3a
L324	NFIX
L325	MEIS1
L326	Arid3a
L327	Arid3a
L328	Arid3a
L329	Arnt
L33	NR4A2
L330	MEIS1
L331	TBX3
L332	MEIS1
L333	TBX3
L334	Dlx4
L335	NFATC1
L336	FOXC2
L337	SOX9
L338	ZBTB26
L339	SPDEF
L34	FOXI1
L340	TBX3
L341	NFATC1
L342	MEIS1
L343	EHF
L344	Arid3a
L345	MEIS1
L346	SOX9
L347	MEIS1
L348	FOXC2
L349	Arid3a
L35	NFATC1
L350	Arid3a
L351	Arid3a
L352	Arid3a
L353	ZNF341
L354	MEIS1
L355	TBX3
L356	TBX3
L357	JUN
L358	Irx2
L359	Irx2
L36	ELF5
L360	TBX3
L361	Irx2
L362	Arid3a
L363	SREBF2
L364	ELF5
L365	ELF5
L366	NFATC1
L367	TBX3
L368	PITX2
L369	NFATC1
L37	NFIA
L370	NFATC1
L371	MEIS1
L372	Dlx4
L373	ELF5
L374	NFATC1
L375	ELF5
L376	Arid3a
L377	Dlx4
L378	ELF5
L379	ELF5
L38	JUN
L380	ELK4
L381	EHF
L382	Dlx4
L383	ELF5
L384	Arnt
L385	FOXC2
L386	Arid3a
L387	NFATC1
L388	Irx2
L389	Irx2
L39	ATF4
L390	ELF5
L391	PITX2
L392	FOXO3
L393	FOXO4
L394	NFATC1
L395	ELF5
L396	ELF5
L397	ELF5
L398	NFATC1
L399	NFATC1
L4	MEIS1
L40	ATF4
L400	NFATC1
L401	ELF5
L402	RORC
L403	JUN
L404	FOXO4
L405	FOXO3
L406	NFATC1
L407	ELF5
L408	ZBTB6
L409	MEIS1
L41	NFIX
L410	NFATC1
L411	EHF
L412	Arid3a
L413	TBX3
L414	Arid3a
L415	ELF5
L416	ELF5
L417	TBX3
L418	NFATC1
L419	NFATC1
L42	RORA
L420	TBX3
L421	PITX2
L422	NFATC1
L423	NFATC1
L424	KLF16
L425	TBX3
L426	Arid3a
L427	NFATC1
L428	ELF5
L429	PITX2
L43	TBX3
L430	NFATC1
L431	ELF5
L432	NFATC1
L433	ELF5
L434	RORC
L435	OVOL1
L436	TBX3
L437	TBX3
L438	TBX3
L439	NFATC1
L44	ATF2
L440	EHF
L441	Arid3a
L442	FOS
L443	ELF5
L444	NFATC1
L445	ELF5
L446	FOXC2
L447	Arid3a
L448	MEIS1
L449	Dlx4
L45	TBX3
L450	NFATC1
L451	ELF5
L452	ELF5
L453	TBX3
L454	ELF5
L455	NR4A2
L456	NFATC1
L457	NFATC1
L458	NFATC1
L459	NFATC1
L46	RORA
L460	BARX2
L461	NFATC1
L462	TBX3
L463	NR4A2
L464	NFATC1
L465	KLF11
L466	NFATC1
L467	TBX3
L468	TBX3
L469	TBX3
L47	TBX3
L470	Arid3a
L471	ELF5
L472	TBX3
L473	TBX3
L474	ELF5
L475	BARX2
L476	FOXC2
L477	TBX3
L478	TBX3
L479	NFATC1
L48	FOSB
L480	TBX3
L481	Dlx4
L482	TBX3
L483	TBX3
L484	TBX3
L485	NFATC1
L486	NFATC1
L487	TBX3
L488	TBX3
L489	JUN
L49	JUN
L490	TBX3
L491	RORA
L492	FOXO4
L493	TBX3
L494	FOS
L495	FOXC2
L496	MEIS1
L497	ATF4
L498	NFIX
L499	FOXO3
L5	Dlx4
L50	TFAP2A
L500	Arid3a
L501	TBX3
L502	NFIX
L503	Irx2
L504	MEIS1
L505	TBX3
L506	FOXO4
L507	Arid3a
L508	Arid3a
L509	MEIS1
L51	TFAP2A
L510	MEIS1
L511	MEIS1
L512	Dlx4
L513	MEIS1
L514	Dlx4
L515	MEIS1
L516	NFIX
L517	NFATC1
L518	ELF5
L519	MEIS1
L52	EHF
L520	SOX9
L521	TBX3
L522	EHF
L523	Irx2
L524	FOXC2
L525	JUN
L526	NFATC1
L527	SOX9
L528	Dlx4
L529	BARX2
L53	Arid3a
L530	ATF4
L531	ATF4
L532	Arid3a
L533	ELF5
L534	BARX2
L535	ELF5
L536	ELF5
L537	ELF5
L538	ELF5
L539	ELF5
L54	NFIX
L540	Arid3a
L541	Arid3a
L542	NFATC1
L543	ELK4
L544	NFATC1
L545	NFATC1
L546	NFIX
L547	Arid3a
L548	NFATC1
L549	NFATC1
L55	TFAP2A
L550	NFATC1
L551	Arid3a
L552	SREBF2
L553	FOS
L554	MEIS1
L555	EHF
L556	NFATC1
L557	NFATC1
L558	NFATC1
L559	Dlx4
L56	MEIS1
L560	MEIS1
L561	MEIS1
L562	Arid3a
L563	BARX2
L564	Arid3a
L565	Arid3a
L566	Dlx4
L567	BARX2
L568	MEIS1
L569	EHF
L57	NFIX
L570	NFATC1
L571	Arid3a
L572	SOX9
L573	Arid3a
L574	NFIX
L575	FOS
L576	FOS
L577	FOS
L578	FOS
L579	FOS
L58	FIGLA
L580	FOS
L581	NFIX
L582	Arid3a
L583	MEIS1
L584	Dlx4
L585	JUN
L586	NR4A2
L587	Dlx4
L588	SOX9
L589	ELF5
L59	SPDEF
L590	SOX9
L591	JUN
L592	CREM
L593	FIGLA
L594	FOXC2
L595	NFIA
L596	NFATC1
L597	ATF2
L598	Arid3a
L599	FOS
L6	Arid3a
L60	ZBTB26
L600	FOS
L601	Arid3a
L602	Arid3a
L603	NFIX
L604	Arid3a
L605	SOX9
L606	MEIS1
L607	Arid3a
L608	Arid3a
L609	Dlx4
L61	NR4A2
L610	MEIS1
L611	NR4A2
L612	TBX3
L613	BARX2
L614	EHF
L615	Arid3a
L616	JUN
L617	MEIS1
L618	SOX9
L619	ATF4
L62	MEIS1
L620	Ddit3Cebpa
L621	FOXC2
L622	MEIS1
L623	TBX3
L624	FOXC2
L625	FOXC2
L626	EHF
L627	NFIX
L628	FOXO3
L629	Arid3a
L63	SPDEF
L630	Arid3a
L631	Arid3a
L632	NFIX
L633	MEIS1
L634	FOXO3
L635	MEIS1
L636	NR4A2
L637	JUN
L638	EHF
L639	EHF
L64	RORC
L640	FOXO4
L641	MEIS1
L642	EHF
L643	TBX3
L644	Dlx4
L645	SOX9
L646	Arid3a
L647	TBX3
L648	FOXC2
L649	TBX3
L65	NFATC1
L650	TBX3
L651	MEIS1
L652	NFIX
L653	TBX3
L654	FOXC2
L655	Irx2
L656	FOXO3
L657	MEIS1
L658	Irx2
L659	EHF
L66	EHF
L660	FOXO4
L661	Irx2
L662	Arid3a
L663	MEIS1
L664	CREB3
L665	Irx2
L666	XBP1
L667	MEIS1
L668	SOX9
L669	SOX10
L67	TBX3
L670	ZBTB6
L671	Bhlha15
L672	Arnt
L673	TBX3
L674	MEIS1
L675	EHF
L676	FOXO4
L677	TBX3
L678	FOXC2
L679	RORC
L68	MEIS1
L680	EHF
L681	MEIS1
L682	NFATC1
L683	ELF5
L684	ELF5
L685	FOXC2
L686	Dlx4
L687	BARX2
L688	FOXO4
L689	NFATC1
L69	MEIS1
L690	ELF5
L691	Arid3a
L692	NR4A2
L693	TBX3
L694	FOXC2
L695	FOXC2
L696	Arid3a
L697	FOXO3
L698	SOX10
L699	SOX10
L7	FOXO4
L70	Arid3a
L700	FOXI1
L701	FOXO4
L702	TBX3
L703	FOXC2
L704	ATF4
L705	NFATC1
L706	ELK4
L707	ELF5
L708	ELF5
L709	Arid3a
L71	ELF5
L710	FOXO3
L711	Arid3a
L712	Ddit3Cebpa
L713	Ddit3Cebpa
L714	TBX3
L715	FOXI1
L716	Dlx4
L717	TBX3
L718	JUN
L719	JUN
L72	RORA
L720	JUN
L721	JUN
L722	JUN
L723	Irx2
L724	JUN
L725	Arid3a
L726	SOX9
L727	ATF4
L728	ATF4
L729	ATF4
L73	ELF5
L730	ATF4
L731	ATF4
L732	SOX9
L733	Irx2
L734	Arid3a
L735	SOX9
L736	FOSB
L737	FOS
L738	ATF2
L739	Arid3a
L74	ELF5
L740	MEIS1
L741	SOX9
L742	MEIS1
L743	Dlx4
L744	SOX9
L745	TBX3
L746	ELF5
L747	Irx2
L748	Dlx4
L749	BARX2
L75	ELF5
L750	MEIS1
L751	TBX3
L752	Ddit3Cebpa
L753	NFIX
L754	NFATC1
L755	Ddit3Cebpa
L756	Irx2
L757	Ddit3Cebpa
L758	Ddit3Cebpa
L759	MEIS1
L76	ELF5
L760	FOXO4
L761	TBX3
L762	NFATC1
L763	Irx2
L764	OVOL1
L765	BARX2
L766	Arid3a
L767	MEIS1
L768	Arid3a
L769	Arid3a
L77	Arid3a
L770	Arid3a
L771	SOX9
L772	SREBF2
L773	Irx2
L774	Arid3a
L775	SOX9
L776	MEIS1
L777	Arid3a
L778	PITX2
L779	TBX3
L78	NFATC1
L780	NFIX
L781	NR4A1
L782	MEIS1
L783	Dlx4
L784	FOXI1
L785	Dlx4
L786	Dlx4
L787	BARX2
L788	BARX2
L789	BARX2
L79	NFATC1
L790	BARX2
L791	BARX2
L792	BARX2
L793	BARX2
L794	Irx2
L795	TBX3
L796	NFIX
L797	NFATC1
L798	NFATC1
L799	FOXC2
L8	NFIX
L80	ELF5
L800	NFATC1
L801	Bhlha15
L802	Irx2
L803	TBX3
L804	Arid3a
L805	Dlx4
L806	NR4A2
L807	MEIS1
L808	ZNF341
L809	Dlx4
L81	NFATC1
L810	MEIS1
L811	TBX3
L812	BARX2
L813	SOX9
L814	Irx2
L815	Arid3a
L816	Dlx4
L817	NFIX
L818	ZNF652
L819	BARX2
L82	NFATC1
L820	NFIX
L821	Bhlha15
L822	NFIX
L823	Irx2
L824	TBX3
L825	Bhlha15
L826	MEIS1
L827	Dlx4
L828	TBX3
L829	BARX2
L83	NFATC1
L830	TBX3
L831	ZNF341
L832	MEIS1
L833	ZNF341
L834	TBX3
L835	TBX3
L836	NFATC1
L837	NFIX
L838	MEIS1
L839	Creb3l2
L84	NFATC1
L840	NFATC1
L841	ELF5
L842	GRHL2
L843	Arnt
L844	SOX10
L845	ZNF341
L846	OVOL1
L847	SOX10
L848	Ddit3Cebpa
L849	TBX3
L85	ELF5
L850	FIGLA
L851	MEIS1
L852	TBX3
L853	FOXC2
L854	MEIS1
L855	Arid3a
L856	Dlx4
L857	MEIS1
L858	Arid3a
L859	SOX9
L86	MEIS1
L860	Arid3a
L861	TBX3
L862	FOXO4
L863	SOX9
L864	MEIS1
L865	TBX3
L866	FOXC2
L867	FOXC2
L868	FOXC2
L869	Bhlha15
L87	NFATC1
L870	Dlx4
L871	FOXC2
L872	Bhlha15
L873	MEIS1
L874	TBX3
L875	NFIX
L876	NFIA
L877	MEIS1
L878	MEIS1
L879	Bhlha15
L88	NFATC1
L880	MEIS1
L881	TBX3
L882	SOX10
L883	SOX10
L884	Irx2
L885	Irx2
L886	MEIS1
L887	TBX3
L888	Bhlha15
L889	TBX3
L89	NFATC1
L890	MEIS1
L891	TBX3
L892	ELF5
L893	FOXC2
L894	FOXO4
L895	TBX3
L896	RORC
L897	Arid3a
L898	FOXC2
L899	Dlx4
L9	TFAP4
L90	NFATC1
L900	NFIX
L901	BARX2
L902	Arid3a
L903	ZNF652
L904	ZNF341
L905	NFIX
L906	NFIX
L907	NR4A1
L908	Arid3a
L909	MEIS1
L91	NFATC1
L910	Dlx4
L911	TBX3
L912	FOXC2
L913	Tcfcp2l1
L914	Dlx4
L915	Arid3a
L916	FOXO3
L917	SOX9
L918	SOX10
L919	FOXO4
L92	NR4A2
L920	SOX10
L921	NFATC1
L922	ELF5
L923	Arid3a
L924	NFATC1
L925	Arid3a
L926	Arid3a
L927	Arid3a
L928	Arid3a
L929	Arid3a
L93	NFATC1
L930	MEIS1
L931	ZNF341
L932	SOX10
L933	Dlx4
L934	Arid3a
L935	Dlx4
L936	Arid3a
L937	Arid3a
L938	SOX9
L939	NFATC1
L94	NFATC1
L940	ELF5
L941	FOXC2
L942	FOXC2
L943	Dlx4
L944	BARX2
L945	Arid3a
L946	Arid3a
L947	SOX9
L948	SOX9
L949	SOX9
L95	MEIS1
L950	ZNF652
L951	SOX10
L952	Dlx4
L953	NFIA
L954	SOX9
L955	ELF5
L956	ELF5
L957	Arid3a
L958	Arid3a
L959	NFIX
L96	MEIS1
L960	NFIX
L961	NFIX
L962	NFIX
L963	NFIX
L964	NFATC1
L965	Arid3a
L966	MEIS1
L967	MEIS1
L968	Dlx4
L969	NFIX
L97	MEIS1
L970	FOXC2
L971	SOX9
L972	NFIX
L973	Arid3a
L974	FOXO4
L975	FOXC2
L976	Dlx4
L977	SOX10
L978	TBX3
L979	NFIX
L98	MEIS1
L980	Arid3a
L981	Arid3a
L982	Bhlha15
L983	NFATC1
L984	ELF5
L985	EHF
L986	FOXO3
L987	FOXO4
L988	Dlx4
L989	BARX2
L99	TBX3
L990	MEIS1
L991	Dlx4
L992	NFATC1
L993	SOX10
L994	SOX10
L995	SOX10
L996	BARX2
L997	SOX10
L998	SOX9
L999	SOX9
